Lat,Lon,Radius,Count_Time,Count,Data_Time
38.427629,-101.9308,10,76.8,26,27.7
38.427629,-101.9308,20,27.4,95,57.4
38.427629,-101.9308,50,51.5,819,102.1
38.427629,-101.9308,100,129.6,3943,1525.9
31.003438,-104.014981,10,330.4,0,26.2
31.003438,-104.014981,20,28.0,134,262.7
31.003438,-104.014981,50,29.5,409,252.8
31.003438,-104.014981,100,117.7,1856,1134.6
27.269189,-88.206231,10,26.2,0,25.8
27.269189,-88.206231,20,25.6,0,24.6
27.269189,-88.206231,50,23.9,0,24.2
27.269189,-88.206231,100,27.2,0,25.1
27.99827,-111.475696,10,33.0,0,36.1
27.99827,-111.475696,20,26.6,0,25.3
27.99827,-111.475696,50,24.9,0,25.0
27.99827,-111.475696,100,26.1,0,24.3
33.897792,-91.698567,10,27.3,119,128.5
33.897792,-91.698567,20,29.9,401,264.3
33.897792,-91.698567,50,127.7,3867,887.2
33.897792,-91.698567,100,136.4,16903,3983.2
32.815796,-69.100166,10,25.0,0,26.3
32.815796,-69.100166,20,25.7,0,29.8
32.815796,-69.100166,50,24.2,0,26.2
32.815796,-69.100166,100,23.7,0,24.3
40.671937,-108.886076,10,25.4,0,25.6
40.671937,-108.886076,20,27.0,0,25.2
40.671937,-108.886076,50,29.1,472,447.3
40.671937,-108.886076,100,116.7,2606,1412.9
36.940275,-100.78319,10,26.0,59,25.0
36.940275,-100.78319,20,35.6,240,97.8
36.940275,-100.78319,50,108.8,1086,339.5
36.940275,-100.78319,100,126.4,5134,2701.7
27.725361,-117.622833,10,36.7,0,25.5
27.725361,-117.622833,20,42.9,0,24.0
27.725361,-117.622833,50,23.4,0,25.8
27.725361,-117.622833,100,418.5,0,30.7
38.424452,-85.832898,10,31.7,786,927.3
38.424452,-85.832898,20,405.7,2927,1636.8
38.424452,-85.832898,50,116.9,8402,6316.3
38.424452,-85.832898,100,148.8,32816,21833.1
