Lat,Lon,Radius,Count_Time,Count,Data_Time
38.994634,-110.421176,10,37.2,0,0.0
38.994634,-110.421176,20,0.0,29,0.0
38.994634,-110.421176,50,20.7,444,2.7
38.994634,-110.421176,100,105.9,4000,139.1
28.23357,-89.471647,10,0.0,0,0.0
28.23357,-89.471647,20,0.0,0,0.0
28.23357,-89.471647,50,0.0,48,15.6
28.23357,-89.471647,100,93.6,3733,478.4
47.671736,-88.085628,10,0.0,0,0.0
47.671736,-88.085628,20,0.0,52,15.6
47.671736,-88.085628,50,4.5,503,9.1
47.671736,-88.085628,100,51.6,2554,82.7
46.711973,-97.585946,10,4.2,111,3.7
46.711973,-97.585946,20,4.5,388,9.0
46.711973,-97.585946,50,82.3,2897,128.6
46.711973,-97.585946,100,92.8,9255,205.1
42.397547,-73.749874,10,0.0,868,27.2
42.397547,-73.749874,20,84.6,3846,146.5
42.397547,-73.749874,50,97.1,13739,259.3
42.397547,-73.749874,100,159.2,67263,997.1
38.326981,-120.177914,10,0.0,63,15.6
38.326981,-120.177914,20,6.1,591,12.1
38.326981,-120.177914,50,95.8,3953,139.3
38.326981,-120.177914,100,96.3,20648,324.7
30.998195,-78.702336,10,0.0,0,0.0
30.998195,-78.702336,20,0.0,0,0.0
30.998195,-78.702336,50,0.0,0,15.6
30.998195,-78.702336,100,87.6,69,82.1
27.309442,-86.745248,10,0.0,0,0.0
27.309442,-86.745248,20,0.0,0,0.0
27.309442,-86.745248,50,0.0,0,15.7
27.309442,-86.745248,100,0.0,0,0.0
29.15275,-87.163863,10,0.0,0,0.0
29.15275,-87.163863,20,0.0,0,0.0
29.15275,-87.163863,50,0.0,0,0.0
29.15275,-87.163863,100,99.9,4621,160.2
48.762603,-68.446029,10,0.0,0,0.0
48.762603,-68.446029,20,0.0,0,0.0
48.762603,-68.446029,50,0.0,0,0.0
48.762603,-68.446029,100,15.6,599,8.2

Execution finished for 4.5 sec.
CSV report file created.
----------
OS       :Windows 10.0.15063
CPU      :Intel(R) Pentium(R) CPU G4560 @ 3.50GHz - 4 core(s)
CPU      :Intel64 Family 6 Model 158 Stepping 9, GenuineIntel
RAM (GB) :8.0
